,Time,Glucose,Biomass,Protein,Acetate,Vreal,Temperature,Induction,Batch,BR
1,0,8.19,0.13035714285715624,0,0.016,1.6632,36.989999999999995,0,0.0,1
2,0.4833333333333316,7.87,0.16988888888886206,0,0.038,1.6336307257614089,36.989999999999995,0,0.0,1
3,0.9333333333333327,7.94,0.2672839506172422,0,0.068,1.6104681276078459,37.02,0,0.0,1
4,1.5499999999999985,7.22,0.44844444444451054,0,0.118,1.5889811216611363,37.02,0,0.0,1
5,2.2666666666666653,6.51,0.9175641025641527,0,0.164,1.566392933787169,36.989999999999995,0,0.0,1
6,3.033333333333332,4.699999999999999,1.6340476190476025,0,0.198,1.5535434735932054,36.989999999999995,0,0.0,1
7,3.583333333333332,2.82,2.422833333333374,0,0.188,1.5417592824851183,37.02,0,0.0,1
8,4.08333333333333,0.012,3.7879999999999914,0,0.208,1.5348347162553282,37.004999999999995,0,0.0,1
1,0,8.53,0.23752688172042474,0,0.06100000000000001,1.5009191511936342,36.975,0,0.0,2
2,0.8333333333333357,7.95,0.758194444444397,0,0.132,1.478419151193634,36.989999999999995,0,0.0,2
3,1.6166666666666654,6.760000000000001,1.2821428571428508,0,0.17100000000000004,1.4562069496021222,37.004999999999995,0,0.0,2
4,3.383333333333338,0.365,4.8877500000000005,0,0.22700000000000004,1.4611909957164355,37.11,0,0.0,2
1,0,8.094,0.1675555555555282,0,0.075,1.676,36.989999999999995,0,0.0,3
2,1.216666666666665,7.947,0.42500000000008803,0,0.12200000000000001,1.6761477453580902,36.989999999999995,0,0.0,3
3,2.0500000000000007,7.273,0.5214285714284982,0,0.16600000000000004,1.6777074270557029,37.004999999999995,0,0.0,3
4,2.8333333333333304,5.661,1.0035714285714212,0,0.22000000000000003,1.6794899204244031,37.02,0,0.0,3
1,0,11.1,0.10356321839079397,0,0.05,1.6579000000000002,37.02,0,0.0,4
2,0.6833333333333336,9.42,0.1748717948718132,0,0.09200000000000001,1.6579000000000002,36.989999999999995,0,0.0,4
3,1.716666666666666,8.99,0.5107407407407478,0,0.17000000000000004,1.6579000000000002,37.035000000000004,0,0.0,4
4,2.1499999999999977,7.53,0.7643333333332928,0,0.21800000000000003,1.6359000000000001,36.989999999999995,0,0.0,4
5,2.666666666666665,7.6,1.021500000000053,0,0.271,1.6359000000000001,36.989999999999995,0,0.0,4
6,3.166666666666666,6.69,1.3699999999999157,0,0.3,1.6359000000000001,37.035000000000004,0,0.0,4
7,3.666666666666665,4.76,2.429000000000059,0,0.41800000000000004,1.6359000000000001,37.02,0,0.0,4
8,4.166666666666667,2.28,3.654000000000046,0,0.42600000000000005,1.5909000000000002,37.02,0,0.0,4
1,0,10.2,0.04347826086957973,0,0.047,1.6309000000000002,36.989999999999995,0,0.0,5
2,0.6833333333333336,9.459999999999999,0.1328787878787904,0,0.09100000000000001,1.6119000000000003,36.989999999999995,0,0.0,5
3,1.716666666666666,8.98,0.4653846153846239,0,0.189,1.5927670118897763,37.02,0,0.0,5
4,2.1499999999999977,8.17,0.6816071428571276,0,0.20400000000000001,1.571721778649084,37.004999999999995,0,0.0,5
5,2.6166666666666654,7.71,0.9277500000000494,0,0.28,1.5512126352319515,37.02,0,0.0,5
6,3.166666666666666,7.24,1.4302777777778095,0,0.34,1.53301405835544,37.004999999999995,0,0.0,5
7,3.666666666666665,5.08,2.2045000000000314,0,0.44000000000000006,1.5204407519428267,36.989999999999995,0,0.0,5
8,4.166666666666667,3.08,3.41107142857146,0,0.475,1.508751961403969,36.96,0,0.0,5
1,0,11.26,0.13432098765431277,0,0.061,1.77884,36.93,0,0.0,6
2,0.75,11,0.21766666666662715,0,0.128,1.76284,37.004999999999995,0,0.0,6
3,1.4166666666666656,10.5,0.4400000000001292,0,0.23099999999999998,1.74784,36.989999999999995,0,0.0,6
4,2.083333333333334,10.2,0.7629999999999804,0,0.33399999999999996,1.73184,36.989999999999995,0,0.0,6
5,2.7499999999999996,8.02,1.3462500000001043,0,0.395,1.7205137400530504,37.035000000000004,0,0.0,6
6,3.5833333333333326,5.5600000000000005,2.622500000000194,0,0.44899999999999995,1.7144155968169759,37.004999999999995,0,0.0,6
7,4.533333333333332,0.069,5.646666666666651,0,0.29900000000000004,1.7210142926613592,36.975,0,0.0,6
1,0,6.58,0.21071428571431805,0,0.05499999999999999,1.7478399999999998,37.065,0,0.0,7
2,0.6500000000000004,5.34,0.46547619047622646,0,0.126,1.7283399999999998,36.989999999999995,0,0.0,7
3,1.3833333333333324,6.3,0.6464285714286033,0,0.20500000000000002,1.7143399999999998,36.989999999999995,0,0.0,7
4,2.1500000000000004,5.460000000000001,1.1750000000000054,0,0.28,1.7047899999999998,37.004999999999995,0,0.0,7
5,2.7333333333333316,3.92,1.7964285714286037,0,0.395,1.6937953050397878,37.035000000000004,0,0.0,7
6,3.633333333333332,1.29,3.4499999999999216,0,0.28300000000000003,1.6880287267904506,37.035000000000004,0,0.0,7
1,0,8.129999999999999,0.503571428571397,0,0.044999999999999984,1.7528,37.26,0,0.0,8
2,0.7999999999999998,7.09,0.6392857142856995,0,0.11099999999999999,1.7438,36.989999999999995,0,0.0,8
3,1.85,6.28,1.3357142857143132,0,0.21199999999999997,1.7328000000000001,36.989999999999995,0,0.0,8
4,3.033333333333333,2.7600000000000002,2.996428571428535,0,0.275,1.7228,37.02,0,0.0,8
1,0,8.149999999999999,0.2740000000001075,0,0.017000000000000015,1.7518,36.989999999999995,0,0.0,9
2,1.1333333333333333,6.78,0.6966666666666418,0,0.15599999999999997,1.7448000000000001,36.989999999999995,0,0.0,9
3,1.9499999999999997,7.08,1.3460000000002026,0,0.11499999999999999,1.7358000000000002,37.004999999999995,0,0.0,9
4,2.95,1.93,3.0261363636362546,0,0.30399999999999994,1.7299193633952257,37.02,0,0.0,9
